id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
495,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Bronzer,14.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/991799d3e70b8856686979f8ff6dcfe0_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88837.html,https://well.ca,"Maybelline Face Studio Master Hi-Light Light Boosting bronzer formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",5.0,,bronzer,[],2016-10-01T18:36:15.012Z,2017-12-23T21:08:50.624Z,http://makeup-api.herokuapp.com/api/v1/products/495.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/495/original/open-uri20171223-4-9hrto4?1514063330,[]
488,maybelline,Maybelline Fit Me Bronzer,10.29,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/d4f7d82b4858c622bb3c1cef07b9d850_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-bronzer_31265.html,https://well.ca,"Why You'll Love It

Lightweight pigments blend easily and wear evenly
Provides a natural, fade-proof bronzed color that leaves skin the way it was meant to be...fresh, breathing and natural

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.5,,bronzer,[],2016-10-01T18:36:05.584Z,2017-12-23T21:08:49.985Z,http://makeup-api.herokuapp.com/api/v1/products/488.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/488/original/open-uri20171223-4-deo82c?1514063329,"[{'hex_value': '#CF9978', 'colour_name': 'Medium Bronze '}]"
477,maybelline,Maybelline Facestudio Master Contour Kit,15.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/4f731de249cbd4cb819ea7f5f4cfb5c3_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-facestudio-master-contour_120303.html?cat=328,https://well.ca,"Maybelline Facestudio Master Contour Kit is the ultimate on the go all-in-one palette, with contouring brush included.  Define and highlight in a New York minute with this effortless 3-step face contouring kit.  This easy-to-use 3-step face contouring kit features a bronzer, blush and highlighter.",,,bronzer,[],2016-10-01T18:35:40.504Z,2017-12-23T21:08:48.157Z,http://makeup-api.herokuapp.com/api/v1/products/477.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/477/original/open-uri20171223-4-1m8bc4v?1514063328,"[{'hex_value': '#9B7163', 'colour_name': None}, {'hex_value': '#D78A89', 'colour_name': None}, {'hex_value': '#DBB7A9', 'colour_name': None}]"
468,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/4621032a92cb428ad640c105b944b39c_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88831.html,https://well.ca,"Maybelline Face Studio Master Hi-Light Light Boosting blush formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",,powder,blush,[],2016-10-01T18:35:27.706Z,2017-12-23T21:08:47.102Z,http://makeup-api.herokuapp.com/api/v1/products/468.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/468/original/open-uri20171223-4-sz64re?1514063327,[]
452,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/e8c59b78ebeaec5c4b6aeba49a9ff0f6_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88836.html,https://well.ca,"Maybelline Face Studio Master Hi-Light Light Boosting blush formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",5.0,powder,blush,[],2016-10-01T18:35:07.476Z,2017-12-23T20:51:17.460Z,http://makeup-api.herokuapp.com/api/v1/products/452.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/452/original/open-uri20171223-4-1pmofky?1514062277,[]
439,maybelline,Maybelline Fit Me Blush,10.29,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/53d5f825461117c0d96946e1029510b0_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-blush_31269.html,https://well.ca,"Maybelline Fit Me Blush has lightweight pigments blend easily and wear evenly. It provides a natural, fade-proof cheek color that leaves skin the way it was meant to be...fresh, breathing, and natural.

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.8,powder,blush,[],2016-10-01T18:34:46.302Z,2017-12-23T21:08:45.097Z,http://makeup-api.herokuapp.com/api/v1/products/439.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/439/original/open-uri20171223-4-1max36x?1514063325,"[{'hex_value': '#FB8684', 'colour_name': 'Deep Coral  '}, {'hex_value': '#F27988', 'colour_name': 'Deep Rose '}, {'hex_value': '#C94A50', 'colour_name': 'Deep Wine '}, {'hex_value': '#FFAAAF', 'colour_name': 'Light Rose '}, {'hex_value': '#FC9D8F', 'colour_name': 'Medium Coral  '}, {'hex_value': '#E89890', 'colour_name': 'Medium Nude '}, {'hex_value': '#FF93A0', 'colour_name': 'Medium Pink '}]"
414,maybelline,Maybelline Dream Bouncy Blush,11.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/51eacb9efebbaee39399e65ffe3d9416_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-bouncy-blush_50689.html,https://well.ca,"Now, blush has bounce! Freshest flush ever:• New bouncy texture is formulated with silicone elastomers• Lightweight like a powder, yet melts seamlessly into skin like a cream giving you a fresh flush• Dermatologist tested• Allergy tested• Non-comedogenic
                    
                    
                    
                        
                        For best results: With your fingertips, blend a small amount of
 blush onto the apples of your cheeks, applying from your cheekbones to 
your temples. To build colour intensity, apply more blush. 
                    ",4.5,cream,blush,[],2016-10-01T18:34:17.251Z,2017-12-23T21:08:40.418Z,http://makeup-api.herokuapp.com/api/v1/products/414.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/414/original/open-uri20171223-4-cjvuw0?1514063320,"[{'hex_value': '#ecc3d5', 'colour_name': 'Fresh Pink '}, {'hex_value': '#ee9cb1', 'colour_name': 'Hot Tamale '}, {'hex_value': '#ecbaba', 'colour_name': 'Peach Satin '}, {'hex_value': '#c25159', 'colour_name': 'Plum Wine '}]"
398,maybelline,Maybelline Color Sensational Lipliner,8.29,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/6607c1b7eb717dfbd3c228b61e4c5148_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-color-sensational_14541.html,https://well.ca,"Keep your Maybelline lip color beautiful with matching lip liners that won't smudge, smear or bleed for smooth, defined lips. For best results: Line your lips starting in the center of your upper lip. Work from the 
center to outer edges of your lips using small strokes, following the 
contour of your mouth. Follow the same technique for your bottom lip. To
 extend the wear of your favorite lip color or lip gloss, first fill in 
your lips completely with lip liner. ",3.5,,lip_liner,[],2016-10-01T18:33:39.513Z,2017-12-23T21:08:35.034Z,http://makeup-api.herokuapp.com/api/v1/products/398.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/398/original/open-uri20171223-4-11xbwij?1514063314,"[{'hex_value': '#A15638', 'colour_name': 'Nude '}, {'hex_value': '#7B4344', 'colour_name': 'Plum '}, {'hex_value': '#854337', 'colour_name': 'Raisin '}, {'hex_value': '#B3705A', 'colour_name': 'Toast '}]"
382,maybelline,Maybelline Dream Smooth Mousse Foundation,14.79,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/fb79e7facf701176d4113527c284613f_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-smooth-mousse_28944.html,https://well.ca,"Why You'll Love ItUnique cream-whipped foundation provides 100% baby-smooth perfection.

Skin looks and feels hydrated for 14 hours - never rough or dry
Lightweight formula provides perfectly moisturizing coverage
Blends seamlessly and feels fresh all-day
Oil-free, Fragrance-free, Dermatologist Tested, Allergy Tested, Non-comedogenic – won’t clog pores.
Safe for sensitive skin

 ",3.8,cream,foundation,[],2016-10-01T18:33:13.645Z,2017-12-23T21:08:34.195Z,http://makeup-api.herokuapp.com/api/v1/products/382.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/382/original/open-uri20171223-4-8avct4?1514063314,[]
380,maybelline,Maybelline Fit Me Shine-Free Foundation Stick,10.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/d04e7c2ed65dabe1dca4eed9aa268e95_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-shine-free_79864.html,https://well.ca,"Get flawless, shine-free skin instantly and on-the-go for tailor-made 
mattifying coverage.  The anti-shine core has ultra-lightweight powders 
built in to the stick foundation to instantly dissolve excess oil. Features: Maybelline's first gel stick foundation with an anti-shine core
Fresh gel foundation blends to a flawless matte finish
Lightweight powders in the anti-shine core instantly dissolve excess oil",4.7,cream,foundation,[],2016-10-01T18:33:11.836Z,2017-12-23T21:08:33.623Z,http://makeup-api.herokuapp.com/api/v1/products/380.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/380/original/open-uri20171223-4-13lju4x?1514063313,"[{'hex_value': '#FFE4C6', 'colour_name': 'Porcelain (110) '}, {'hex_value': '#FFE5C1', 'colour_name': 'Ivory (115) '}, {'hex_value': '#FFD9B9', 'colour_name': 'Classic Ivory (120) '}, {'hex_value': '#FACFA8', 'colour_name': 'Natural Beige (220) '}, {'hex_value': '#D39B70', 'colour_name': 'Toffee (330) '}, {'hex_value': '#CA8B67', 'colour_name': 'Coconut (355) '}]"
379,maybelline,Maybelline Dream Matte Mousse Foundation,14.79,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/029889b345c76a70e8bb978b73ed1a87_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-matte-mousse_3747.html,https://well.ca,"Maybelline Dream Matte Mouse Foundation is a revolutionary air-soft mousse that provides perfecting coverage for 100% velvet-matte complexion. It's non-comedogenic, fragrance-free, dermatologist-tested, allergy-tested and ideal for normal to oily skin.For best results: Apply smoothly and evenly to your face and blend with your fingertips.﻿

 ",4.4,cream,foundation,[],2016-10-01T18:33:10.614Z,2017-12-23T21:08:33.441Z,http://makeup-api.herokuapp.com/api/v1/products/379.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/379/original/open-uri20171223-4-1koue12?1514063313,"[{'hex_value': '#f3d7b3', 'colour_name': 'Classic Ivory '}, {'hex_value': '#dfc5a8', 'colour_name': 'Light Beige '}, {'hex_value': '#edd3ac', 'colour_name': 'Nude '}, {'hex_value': '#f5dfc3', 'colour_name': 'Porcelain Ivory '}, {'hex_value': '#d9bcaf', 'colour_name': 'Pure Beige '}, {'hex_value': '#d8bda8', 'colour_name': 'Sandy Beige '}]"
366,maybelline,Maybelline Mineral Power Natural Perfecting Powder Foundation,14.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/c77ad2da76259cfd67a9a9432f635bfb_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-mineral-power-natural_5900.html?cat=582,https://well.ca,"Why You'll Love ItMineral Power Powder Foundation with micro-minerals provides a more natural, healthier, luminous look.
Discover the natural power of micro-minerals:
100% natural mica creates a more natural luminosity Complete, yet refined coverage Provides buildable, even coverage Preservative-free, talc-free, oil-free, fragrance-free Medium to Full Coverage",3.9,mineral,foundation,[],2016-10-01T18:32:42.283Z,2017-12-23T21:08:29.561Z,http://makeup-api.herokuapp.com/api/v1/products/366.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/366/original/open-uri20171223-4-q5cytj?1514063309,"[{'hex_value': '#FFD59E', 'colour_name': 'Classic Ivory '}]"
354,maybelline,Maybelline Dream Velvet Foundation,18.49,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/24517c6c81c92eda31cd32b6327c1298_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-velvet-foundation_112738.html?cat=581,https://well.ca,"This Maybelline Dream Velvet Foundation is a refreshing gel-whipped foundation that leaves complexion perfected and smooth with a velvety, soft-matte finish. Skin stays hydrated for 12 hours. Features:Maybelline’s first hydrating matte foundation for 100% velvet-smooth perfectionUnique gel-whipped formulaIdeal for normal to combination skin, medium coverage For best results apply Maybelline Dream Velvet Foundation using Maybelline Dream Blender",2.5,cream,foundation,[],2016-10-01T18:32:21.385Z,2017-12-23T21:08:36.656Z,http://makeup-api.herokuapp.com/api/v1/products/354.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/354/original/open-uri20171223-4-ouczfl?1514063316,"[{'hex_value': '#D39D7B', 'colour_name': 'Caramel '}, {'hex_value': '#F5CAB9', 'colour_name': 'Classic Ivory '}, {'hex_value': '#B37560', 'colour_name': 'Coconut '}, {'hex_value': '#F3BEAC', 'colour_name': 'Creamy Natural  '}, {'hex_value': '#E4A890', 'colour_name': 'Honey Beige  '}, {'hex_value': '#F6D2BC', 'colour_name': 'Ivory '}, {'hex_value': '#E2B598', 'colour_name': 'Natural Beige '}, {'hex_value': '#F1BEAB', 'colour_name': 'Nude  '}, {'hex_value': '#F8E0D4', 'colour_name': 'Porcelain Ivory '}, {'hex_value': '#EEBAA4', 'colour_name': 'Pure Beige '}, {'hex_value': '#EFC2A1', 'colour_name': 'Sandy Beige  '}, {'hex_value': '#FAE2D6', 'colour_name': 'Warm Porcelain '}]"
353,maybelline,Maybelline Superstay Better Skin Foundation ,14.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/c7d967ef502ecd79ab7ab466c4952d82_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-superstay-better-skin_112548.html,https://well.ca,"The Maybelline Superstay Better Skin Foundation reduces the appearance of spots, bumps, dullness and redness to give you brighter, smoother and more even skin. Features:Longwear that improves skin every minute you're in it: brighter, smoother and more even.With micro-flex technology and the antioxidant power of Actyl-C.Ideal for sensitive skin. Good for all skin types. Medium to full coverageHow to Apply: Apply evenly to your face and blend with your fingers. ",3.0,liquid,foundation,[],2016-10-01T18:32:19.867Z,2017-12-23T21:08:27.318Z,http://makeup-api.herokuapp.com/api/v1/products/353.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/353/original/open-uri20171223-4-q9ubsf?1514063307,"[{'hex_value': '#9A6438', 'colour_name': 'Coconut  '}, {'hex_value': '#DCBCA3', 'colour_name': 'Ivory '}, {'hex_value': '#ECD3B2', 'colour_name': 'Porcelain '}, {'hex_value': '#C99F6D', 'colour_name': 'Rich Tan  '}, {'hex_value': '#CA9B5F', 'colour_name': 'Sun Beige  '}]"
339,maybelline,Maybelline Dream Wonder Liquid Touch Foundation,14.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/ccb99ad6ac7f31a2a73454bdbda01d99_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/maybelline-dream-wonder-liquid-touch_96732.html,https://well.ca,"Maybelline Dream Wonder Liquid Touch Foundation's breakthrough texture fuses with skin. A finish so impeccable, yet undetectable.Features:Exclusive dropperMedium to full coverage, ideal for normal skinFor Best Results: Shake well. Unscrew cap. Holding dropper vertically, allow foundation to drop onto fingertip. Apply to face as usual.",,liquid,foundation,[],2016-10-01T18:31:57.182Z,2017-12-23T21:08:22.715Z,http://makeup-api.herokuapp.com/api/v1/products/339.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/339/original/data?1514063302,"[{'hex_value': '#DDA17B', 'colour_name': 'Sun Beige (85) '}]"
321,maybelline,Maybelline Dream Liquid Mousse,14.79,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/1ca6a4a442b9aa6b5f3d94da77d8846c_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-liquid-mousse_12303.html,https://well.ca,"Airbrushed perfection made possible:Air-whipped liquid makeup for 100% poreless skin

Breakthrough finish cushions and smooths for the most flawless, luminous coverage
Lightweight air-whipped formula blends to virtually eliminate pores and imperfections
Innovative shade-match pump makes finding your perfect shade a dream 
",4.4,liquid,foundation,[],2016-10-01T18:31:31.590Z,2017-12-23T21:08:12.680Z,http://makeup-api.herokuapp.com/api/v1/products/321.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/321/original/open-uri20171223-4-4z6wpb?1514063292,"[{'hex_value': '#FFD59E', 'colour_name': 'Classic Ivory (Light 2) '}, {'hex_value': '#CB9E6C', 'colour_name': 'Natural Beige (Medium 2.5) '}, {'hex_value': '#FFD9A6', 'colour_name': 'Natural Ivory (Light 3) '}, {'hex_value': '#FBD8AA', 'colour_name': 'Porcelain Ivory (Light 1) '}, {'hex_value': '#CE9E88', 'colour_name': 'Pure Beige (Medium 2) '}]"
320,maybelline,Maybelline FIT ME! Matte + Poreless Foundation,10.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/257993e12625cc45a72ec03636ffa5c5_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/maybelline-fit-me-matte-poreless_100974.html,https://well.ca,"Maybelline FIT ME! Matte + Poreless Foundation goes beyond  skin tone
 matching to fit the unique texture issues of normal to oily skin for 
the ultimate natural skin fit.

While some foundations can exaggerate pores and oily skin, only Maybelline's 
pore-minimizing foundation contains their genius blurring micro-powders 
that erase pores and absorb oil for a naturally matte and 
poreless-looking finish.Dermatologist and allergy tested.  Does not clog pores. Oil-free.

  
",4.4,liquid,foundation,[],2016-10-01T18:31:30.291Z,2017-12-23T21:08:12.553Z,http://makeup-api.herokuapp.com/api/v1/products/320.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/320/original/data?1514063292,"[{'hex_value': '#fadbc7', 'colour_name': 'Porcelain '}, {'hex_value': '#f1c7b1', 'colour_name': 'Natural Ivory '}, {'hex_value': '#e8b89b', 'colour_name': 'Ivory '}, {'hex_value': '#e6ba9f', 'colour_name': 'Classic Ivory '}, {'hex_value': '#e5b495', 'colour_name': 'Nude Beige '}, {'hex_value': '#e2ae8e', 'colour_name': 'Buff Beige '}, {'hex_value': '#dead87', 'colour_name': 'Natural Beige '}, {'hex_value': '#dfa585', 'colour_name': 'Pure Beige '}, {'hex_value': '#d9a37f', 'colour_name': 'Sun Beige '}, {'hex_value': '#bc855f', 'colour_name': 'Toffee '}, {'hex_value': '#b37750', 'colour_name': 'Coconut '}]"
